site,trinomial,lat,lon,utm_zone,easting,northing
Poverty Point,16WC5,32.636200,-91.408900,15,649249,3612075
Lower Jackson,16WC10,32.617500,-91.410800,15,649102,3609999
Watson Brake,16OU175,32.447500,-92.097800,15,584803,3590398
Frenchman's Bend,16OU259,32.553000,-92.110000,15,583558,3602083
Caney,16CT5,31.850000,-91.670000,15,625835,3524580
Insley,16FR3,32.083300,-91.675000,15,625045,3550437
Cowpen Slough,16CT147,31.680000,-91.650000,15,627961,3505759
J.W. Copes,16MA47,32.450000,-91.150000,15,673896,3591823
Jaketown,22HU505,33.178900,-90.456100,15,737191,3674003
Claiborne,22HA501,30.309700,-89.593300,16,250620,3355953
Cedarland,22HA506,30.308300,-89.591900,16,250752,3355795
